NutriLink API - resultado dos testes (2026-09-23 01:47:55)
Base: http://localhost:9000
Passaram: 84 / 84

[OK   ] Swagger UI na raiz | GET    / | esperado 200, recebido 200
[OK   ] OpenAPI lista o endpoint de sincronizacoes | GET    /v3/api-docs | esperado 200, recebido 200
[OK   ] Cadastrar especialista em lactacao | POST   /api/v2/profissionais-saude | esperado 201, recebido 201
[OK   ] Cadastrar analista nivel 1 | POST   /api/v2/profissionais-saude | esperado 201, recebido 201
[OK   ] Registro de conselho duplicado | POST   /api/v2/profissionais-saude | esperado 400, recebido 400
[OK   ] Tipo de profissional inexistente (enum invalido) | POST   /api/v2/profissionais-saude | esperado 400, recebido 400
[OK   ] Buscar profissional por ID | GET    /api/v2/profissionais-saude/ecb9bfce-4682-4e54-831e-8d7f27b9cc8f | esperado 200, recebido 200
[OK   ] Listar profissionais | GET    /api/v2/profissionais-saude | esperado 200, recebido 200
[OK   ] Listar profissionais ativos | GET    /api/v2/profissionais-saude/ativos | esperado 200, recebido 200
[OK   ] Listar por tipo | GET    /api/v2/profissionais-saude/tipo/ESPECIALISTA_LACTACAO | esperado 200, recebido 200
[OK   ] Inativar credencial | PATCH  /api/v2/profissionais-saude/49528f34-a607-4970-b827-115636ed2b62/inativar | esperado 200, recebido 200
[OK   ] Reativar credencial | PATCH  /api/v2/profissionais-saude/49528f34-a607-4970-b827-115636ed2b62/reativar | esperado 200, recebido 200
[OK   ] Cadastrar doadora (status inicial PENDENTE) | POST   /api/v2/doadoras | esperado 201, recebido 201
[OK   ] Cadastrar segunda doadora (para revisao humana) | POST   /api/v2/doadoras | esperado 201, recebido 201
[OK   ] CPF duplicado | POST   /api/v2/doadoras | esperado 400, recebido 400
[OK   ] Doadora menor de idade | POST   /api/v2/doadoras | esperado 400, recebido 400
[OK   ] CPF com tamanho invalido (erro lista os campos) | POST   /api/v2/doadoras | esperado 400, recebido 400
[OK   ] Campos obrigatorios ausentes | POST   /api/v2/doadoras | esperado 400, recebido 400
[OK   ] JSON malformado | POST   /api/v2/doadoras | esperado 400, recebido 400
[OK   ] Buscar doadora por ID | GET    /api/v2/doadoras/a7ccf260-1650-4600-b7cc-f77a05ada410 | esperado 200, recebido 200
[OK   ] Listar doadoras | GET    /api/v2/doadoras | esperado 200, recebido 200
[OK   ] ID inexistente | GET    /api/v2/doadoras/00000000-0000-0000-0000-000000000000 | esperado 404, recebido 404
[OK   ] ID em formato invalido | GET    /api/v2/doadoras/abc | esperado 400, recebido 400
